tweet_id,term,pos,pos_fre,neg_fre,label
74,mohon,v,1,0,0
74,baik,adj,12,0,0
74,cepat,adj,9,3,0
75,sahabat,n,5,0,1
75,jalan,n,1,1,1
76,lambat,adj,0,3,0
76,banyak,adj,7,5,0
76,lambat,adj,0,3,0
77,pangkal,n,0,2,0
77,jati,adj,2,1,0
77,hancur,adj,0,3,0
77,parah,adj,1,4,0
78,lancar,adj,2,2,1
78,besok,n,0,1,1
78,kerja,n,3,1,1
79,buruk,adj,0,18,0
79,daerah,n,4,2,0
79,parah,adj,1,4,0
80,kencang,adj,4,3,1
80,saat,n,1,1,1
80,lelap,v,0,2,1
80,tidur,v,0,1,1
81,daerah,n,4,2,0
81,ganggu,v,0,3,0
81,lambat,adj,0,3,0
82,stabil,adj,1,3,1
82,bukti,n,4,0,1
83,jelek,adj,1,2,0
83,mohon,v,1,0,0
84,tolong,v,5,0,1
84,bagus,adj,12,0,1
84,serius,adj,4,6,1
84,murah,adj,2,4,1
85,mati,v,1,4,0
85,mati,v,1,4,0
