tweet_id,term,pos,pos_fre,neg_fre,label
124,percaya,v,5,1,1
125,kampung,n,0,1,0
125,waras,adj,7,1,0
126,luas,adj,5,2,1
127,buruk,adj,0,18,0
127,percaya,v,5,1,0
128,sakit,adj,0,6,0
128,ganggu,v,0,3,0
129,nyaman,adj,3,1,1
130,kawasan,n,4,2,1
131,luas,adj,5,2,1
131,maju,v,5,0,1
132,kecewa,adj,0,3,0
133,jatuh,v,3,12,1
133,stabil,adj,1,3,1
134,pakar,n,3,0,1
134,unggul,adj,8,0,1
135,buruk,adj,0,18,0
136,pimpin,v,1,0,1
137,kenal,v,3,0,0
137,payah,adj,1,7,0
138,usang,adj,0,5,0
138,payah,adj,1,7,0
139,buruk,adj,0,18,0
139,payah,adj,1,7,0
140,lengkap,adj,3,0,1
140,baik,adj,12,0,1
140,suka,adj,3,1,1
141,buruk,adj,0,18,0
141,senang,adj,7,3,0
141,jamin,v,1,1,0
142,emosi,n,2,0,0
143,mati,v,1,4,0
143,suram,adj,4,11,0
143,layak,adj,8,0,0
144,tajam,adj,11,6,1
144,mantap,adj,2,2,1
144,halus,adj,15,5,1
144,pokok,n,2,1,1
145,daerah,n,4,2,1
145,asing,adj,2,5,1
146,nasib,n,4,0,0
146,parah,adj,1,4,0
147,sesuai,n,2,0,1
147,perlu,adv,1,1,1
148,kualitas,n,3,0,0
148,layak,adj,8,0,0
148,baik,adj,12,0,0
149,murah,adj,2,4,1
149,mutu,n,3,0,1
150,hebat,adj,14,5,1
150,harga,n,1,0,1
150,murah,adj,2,4,1
150,juara,n,1,0,1
151,sesuai,n,2,0,1
151,mantap,adj,2,2,1
152,jelek,adj,1,2,0
152,parah,adj,1,4,0
152,main,v,3,0,0
153,murah,adj,2,4,1
153,tajam,adj,11,6,1
153,juara,n,1,0,1
154,hemat,adj,3,1,1
155,asa,n,1,1,0
155,ganggu,v,0,3,0
156,percaya,v,5,1,0
156,khianat,n,2,0,0
157,gembira,adj,10,7,1
157,jaga,v,4,4,1
158,pelit,adj,0,1,0
158,cukup,adj,2,2,0
159,kolot,adj,1,4,0
159,bagus,adj,12,0,0
159,kuat,adj,17,8,0
